Date,open,high,low,close,volume,dividends,stock splits,trade_date,sqz_on,sqz_off,sqz_val,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,prev_ema8,prev_ema21,prev2_ema8,prev2_ema21,vi_plus,vi_minus,vortex_spread,vortex_z,weekly_bull,entry_signal,day_low_so_far
2021-02-05,258.52603810356266,258.97564860461233,248.18499657942013,252.2314910888672,23719764,0.0,0.0,2021-02-05,False,True,-19.753480479825864,8.060871070760431,256.84305680863815,257.05286143125426,241.98103920596276,254.47953216871733,258.52602649648844,258.160647014287,257.53499846549295,258.18471301390474,257.4808567104797,0.924303235701651,1.0119523667400667,-0.08764913103841576,-0.6993311439941723,True,False,248.18499657942013
2021-02-17,252.6810929389151,270.6655123651724,252.6810929389151,269.3166809082031,36972888,0.0,0.0,2021-02-17,False,True,-17.268580175654172,8.831630250675543,259.6149732752082,258.1677541109769,243.05302515507023,248.18499657942013,258.97564860461233,256.84305680863815,257.05286143125426,258.160647014287,257.53499846549295,0.9163640288302042,0.970909609010467,-0.05454558018026279,-0.5470173660633206,True,False,252.6810929389151
2021-02-18,274.71198013405393,281.45613676582286,273.36314880770016,275.1615905761719,20323345,0.0,0.0,2021-02-18,False,True,-12.936588508669129,9.217008644442373,263.0697771198668,259.71264833508553,244.3121845833487,252.6810929389151,270.6655123651724,259.6149732752082,258.1677541109769,256.84305680863815,257.05286143125426,1.0487806638737922,0.905924076053843,0.14285658781994925,0.024281931781720844,True,False,273.36314880770016
2021-02-19,272.463928527832,273.3631494140625,267.0686032104492,269.7662658691406,10231363,0.0,0.0,2021-02-19,True,False,-9.421600643428656,9.34546869325825,264.55788573081657,260.6266135654542,245.3103838494582,273.36314880770016,281.45613676582286,263.0697771198668,259.71264833508553,259.6149732752082,258.1677541109769,0.9759455088545806,0.962199705466691,0.013745803387889666,-0.2305506254197696,True,False,267.0686032104492
2021-02-22,273.81277004508087,276.5104328041457,269.7662759064836,270.6654968261719,10381912,0.0,0.0,2021-02-22,True,False,-6.0761812789104965,9.217009299395908,265.91513264089554,261.5392393164285,246.30470200540776,267.0686032104492,273.3631494140625,264.55788573081657,260.6266135654542,263.0697771198668,259.71264833508553,1.01742227295989,0.9337979866962557,0.08362428626363438,0.07336376336023386,True,False,269.7662759064836
2021-02-23,268.8671049111747,272.4639892578125,265.27022056453694,272.4639892578125,10102295,0.0,0.0,2021-02-23,True,False,-2.873018494922664,9.18489434998398,267.3704341113215,262.5323984020089,247.33055640746284,269.7662759064836,276.5104328041457,265.91513264089554,261.5392393164285,264.55788573081657,260.6266135654542,0.996504427882179,0.9440557504963718,0.05244867738580716,0.07367204630725457,True,False,265.27022056453694
2021-02-24,271.56473961654973,272.0143501126036,263.47175068757974,264.3709716796875,10607310,0.0,0.0,2021-02-24,True,False,-2.090693851101977,9.21701140546229,266.7038869042917,262.69954142725237,247.99880798676577,265.27022056453694,272.4639892578125,267.3704341113215,262.5323984020089,265.91513264089554,261.5392393164285,0.979094356088019,0.9512195450008815,0.02787481108713752,0.06137211106411571,True,False,263.47175068757974
2021-02-25,269.3167232390373,269.3167232390373,260.3245121125252,264.82061767578125,12635835,0.0,0.0,2021-02-25,True,False,-0.8152353071929507,9.345471640721694,266.2853826312894,262.892366540755,248.65848679809972,263.47175068757974,272.0143501126036,266.7038869042917,262.69954142725237,267.3704341113215,262.5323984020089,0.9862549544210453,0.931271109572448,0.05498384484859731,0.26650565980049573,True,False,260.3245121125252
2021-02-26,259.425259105662,259.425259105662,252.2314910888672,252.2314910888672,21096376,0.0,0.0,2021-02-26,False,True,-1.7531480228461074,9.634509303962306,263.16229562186226,261.92319604512886,248.79860461342392,260.3245121125252,269.3167232390373,266.2853826312894,262.892366540755,266.7038869042917,262.69954142725237,0.9166672942553585,0.9599996681936397,-0.043332373938281155,-0.03901106897983863,True,False,252.2314910888672
2021-03-02,267.06863594055176,267.5182464387682,255.82837348514133,258.97564697265625,12680787,0.0,0.0,2021-03-02,True,False,-0.8531221611827848,9.730854392289817,262.23192925537205,261.6552370385404,249.19770431378598,252.2314910888672,259.425259105662,263.16229562186226,261.92319604512886,266.2853826312894,262.892366540755,0.9075915213856288,0.9240919482255632,-0.016500426839934357,0.20537307336214558,True,False,255.82837348514133
