Date,open,high,low,close,volume,dividends,stock splits,trade_date,sqz_on,sqz_off,sqz_val,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,prev_ema8,prev_ema21,prev2_ema8,prev2_ema21,vi_plus,vi_minus,vortex_spread,vortex_z,weekly_bull,prev_atr14,entry_signal,day_low_so_far
2020-12-28,63.31948928409296,64.01615373101399,62.93245085547561,63.2420768737793,21003674,0.0,0.0,2020-12-28,True,False,0.8444877687567018,1.669792982085892,61.78952253384705,60.461873364859656,57.369591381223955,62.39060017828026,64.2483860152918,61.374507008152115,60.18385301396769,61.017844546893116,59.939955753108606,1.0231788393476537,0.8112579248055956,0.2119209145420582,-0.08450637155114687,True,1.6476773135018286,False,62.93245085547561
2020-12-29,63.47430850928054,63.861346975800544,61.926154643200526,62.4680061340332,22658404,0.0,0.0,2020-12-29,True,False,0.753533532178797,1.741671731692824,61.940296667221745,60.64424907114816,57.569529214667455,62.93245085547561,64.01615373101399,61.78952253384705,60.461873364859656,61.374507008152115,60.18385301396769,0.9428571229705497,0.8571422155625851,0.08571490740796461,-1.0126993431113673,True,1.669792982085892,False,61.926154643200526
2020-12-30,62.4680000165446,63.31948928409296,62.080961587927256,63.2420768737793,15600593,0.0,0.0,2020-12-30,True,False,0.7885869209602059,1.7361431045339515,62.22958115756787,60.88041523502371,57.79198206404439,61.926154643200526,63.861346975800544,61.940296667221745,60.64424907114816,61.78952253384705,60.461873364859656,0.9458591465696367,0.8980891311251169,0.04777001544451975,-1.198201840533524,True,1.741671731692824,False,62.080961587927256
2020-12-31,63.55171112049519,63.861343055852984,62.46800229961192,62.93245315551758,16444352,0.0,0.0,2020-12-31,True,False,0.7716971189858621,1.592386037382386,62.38577493489002,61.06696413688679,57.99356916567079,62.080961587927256,63.31948928409296,62.22958115756787,60.88041523502371,61.940296667221745,60.64424907114816,1.0347218396474478,0.8819442962498856,0.15277754339756222,-0.3143434888059099,True,1.7361431045339515,False,62.46800229961192
2021-01-04,63.47430580922459,65.40949805950582,63.31949279149732,64.94505310058594,33927006,0.0,0.0,2021-01-04,False,True,1.1757661552752974,1.6697931820136616,62.95450341615578,61.419517679041256,58.26617637880472,62.46800229961192,63.861343055852984,62.38577493489002,61.06696413688679,62.22958115756787,60.88041523502371,1.0728478580192966,0.7119202653574782,0.3609275926618184,1.4651360325110319,True,1.592386037382386,False,63.31949279149732
2021-01-05,64.94505184041627,67.34468900305572,64.71282641259332,67.0350570678711,44594702,0.0,0.0,2021-01-05,False,True,1.7613835528081925,1.752730416313623,63.861293116536956,61.93002125984396,58.61005405288576,63.31949279149732,65.40949805950582,62.95450341615578,61.419517679041256,62.38577493489002,61.06696413688679,1.1324920707385784,0.6561510468369631,0.47634102390161526,2.2351934127377677,True,1.6697931820136616,True,64.71282641259332
2021-01-06,68.11877510372528,70.05396757826293,67.34469811391023,68.50581359863281,66744080,0.0,0.0,2021-01-06,False,True,2.4801149863607312,1.8688423401217098,64.89340877922493,62.52782056337021,58.99812305467976,64.71282641259332,67.34468900305572,63.861293116536956,61.93002125984396,62.95450341615578,61.419517679041256,1.1893491936638059,0.6035504342271605,0.5857987594366454,2.4856251816043926,True,1.752730416313623,False,67.34469811391023
2021-01-07,69.66692914400498,70.44100613449393,68.89285215351605,69.20248413085938,35086026,0.0,0.0,2021-01-07,False,True,3.2352833005849195,1.8964883270604898,65.85098107958814,63.134608160414686,59.39829407727504,67.34469811391023,70.05396757826293,64.89340877922493,62.52782056337021,63.861293116536956,61.93002125984396,1.2186591181814637,0.6268219440257031,0.5918371741557605,2.1832797789850753,True,1.8688423401217098,False,68.89285215351605
2021-01-08,70.13136553124919,70.13136553124919,67.73172833702782,68.11876678466797,39265118,0.0,0.0,2021-01-08,False,True,3.799142962409303,2.0070707438080286,66.35493345849477,63.58771348989225,59.740273399133585,68.89285215351605,70.44100613449393,65.85098107958814,63.134608160414686,64.89340877922493,62.52782056337021,1.168043884044322,0.6391187543851884,0.5289251296591335,1.6713328042964064,True,1.8964883270604898,False,67.73172833702782
2021-01-11,68.2735821002067,70.05396138159217,68.2735821002067,69.97655487060547,32677781,0.0,0.0,2021-01-11,False,True,4.490809092840024,2.067891161568436,67.15973821674159,64.16851725177527,60.141696201936405,67.73172833702782,70.13136553124919,66.35493345849477,63.58771348989225,65.85098107958814,63.134608160414686,1.18983943524052,0.6417114359890267,0.5481279992514932,1.5735708098885097,True,2.0070707438080286,False,68.2735821002067
