Date,open,high,low,close,volume,trade_date,sqz_on,sqz_off,sqz_val,tr,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,weekly_bull,near_ema50,momentum_up,sqz_fired,entry_fired,entry_pullback,entry_strong,entry_fired_next,entry_pullback_next,entry_strong_next
2025-07-01,1068.6368357574884,1083.479014031898,1063.689442999352,1073.584228515625,44299887,2025-07-01,False,True,50.49907169734478,34.63172399283553,23.712139054452766,1053.0528841241826,1026.6102608865597,991.656661394714,1048.8472900390625,1068.6368615492336,True,False,False,False,False,False,False,False,False,False
2025-07-02,1063.689442999352,1073.584228515625,1058.7420502412153,1073.584228515625,23822731,2025-07-02,False,True,48.965927528959355,14.842178274409662,23.676800783874885,1057.6154051000588,1030.880621580111,994.8695071641615,1063.689442999352,1083.479014031898,True,False,False,False,False,False,False,False,False,False
2025-07-03,1093.373794415675,1093.373794415675,1078.5316162109375,1078.5316162109375,36973556,2025-07-03,False,True,47.686771762022815,19.789565900050093,23.67679714435788,1062.2634520135873,1035.2125301829133,998.1503741856037,1058.7420502412153,1073.584228515625,True,False,False,False,False,False,False,False,False,False
2025-07-04,1083.479014031898,1088.4264067900347,1068.6368357574884,1073.584228515625,20363322,2025-07-04,False,True,43.6201819154687,19.78957103254629,24.030182277861837,1064.7791801251512,1038.700866394978,1001.108564551487,1078.5316162109375,1093.373794415675,True,False,False,False,False,False,False,False,False,False
2025-07-07,1068.6368408203125,1073.584233601888,1058.7420552571614,1068.6368408203125,18829372,2025-07-07,False,True,37.558216042544075,14.842178344726562,23.32341332154382,1065.6364380574094,1041.422318615463,1003.7567322483037,1068.6368357574884,1088.4264067900347,True,False,False,False,False,False,False,False,False,False
2025-07-08,1058.7420552571614,1068.6368408203125,1053.794662475586,1068.6368408203125,27461252,2025-07-08,False,True,34.12979967825442,14.842178344726562,22.61664288113033,1066.3031942269436,1043.896366088631,1006.3010502315198,1058.7420552571614,1073.584233601888,True,False,False,False,False,False,False,False,False,False
2025-07-09,1058.7420452712872,1078.5316162109375,1053.7946525363748,1078.5316162109375,23618216,2025-07-09,False,True,34.12568056777498,24.73696367456273,22.61664430188714,1069.0206213344977,1047.0450251906589,1009.1336214463988,1053.794662475586,1068.6368408203125,True,False,False,False,False,False,False,False,False,False
2025-07-10,1083.479120427912,1088.426513671875,1078.5317271839488,1088.426513671875,22350503,2025-07-10,False,True,34.57575343580293,9.8948974609375,21.20311144819564,1073.333041853915,1050.8069786889512,1012.2431466317117,1053.7946525363748,1078.5316162109375,True,False,True,False,False,False,False,False,False,False
2025-07-11,1083.479120427912,1088.426513671875,1078.5317271839488,1088.426513671875,28249780,2025-07-11,False,True,33.286513839850834,9.89478648792624,19.08280284390787,1076.6871467023504,1054.2269364146714,1015.2307296528946,1078.5317271839488,1088.426513671875,True,False,False,False,False,False,False,False,False,False
2025-07-14,1088.426519245862,1088.426519245862,1073.5843394379638,1083.4791259765625,25760632,2025-07-14,False,True,30.15148243250048,14.84217980789822,18.022649532195242,1078.1964754299531,1056.8862263748433,1017.907137351862,1078.5317271839488,1088.426513671875,True,False,False,False,False,False,False,False,False,False
2025-07-15,1083.4791094805744,1103.2686822564751,1078.531716286599,1098.3212890625,45416390,2025-07-15,False,True,30.81286105096556,24.73696596987611,18.376036331382824,1082.6686562371858,1060.6530502555393,1021.0606334973772,1073.5843394379638,1088.426519245862,True,False,True,False,False,False,False,False,False,False
2025-07-16,1108.2159326603983,1118.1107177734375,1108.2159326603983,1118.1107177734375,31013743,2025-07-16,False,True,34.99076556712081,19.7894287109375,18.72941147413615,1090.5446699119084,1065.876474575348,1024.866519155262,1078.531716286599,1103.2686822564751,True,False,True,False,False,False,False,False,False,False
2025-07-17,1118.1107177734375,1123.0581103299571,1103.2685401038786,1118.1107177734375,30648595,2025-07-17,False,True,36.39761840165116,19.789570226078467,18.729411409834466,1096.6704583255816,1070.6250421388106,1028.5231543951907,1108.2159326603983,1118.1107177734375,True,False,True,False,False,False,False,False,False,False
2025-07-18,1142.8477783203125,1147.795171300054,1132.9529923608293,1142.8477783203125,46645034,2025-07-18,False,True,42.32555114742185,29.684453526616608,19.436188696723434,1106.9320849910773,1077.1907454280379,1033.0064729804894,1103.2685401038786,1123.0581103299571,True,False,True,False,False,False,False,False,False,False
2025-07-21,1132.9529976222825,1137.900390625,1123.0582116168478,1137.900390625,26749324,2025-07-21,False,True,41.79904585107022,19.789566703464743,18.37603460462552,1113.8139306875046,1082.709804082307,1037.119959946941,1132.9529923608293,1147.795171300054,True,False,False,False,False,False,False,False,False,False
2025-07-22,1132.9528954429964,1147.7950731125552,1118.1107177734375,1118.1107177734375,50457506,2025-07-22,False,True,38.78449962630832,29.6843553391177,19.436190109247523,1114.7687722621563,1085.928068963319,1040.2960680969998,1123.0582116168478,1137.900390625,True,False,False,False,False,False,False,False,False,False
2025-07-23,1128.0056099037938,1132.9530029296875,1123.0582168779,1132.9530029296875,29747757,2025-07-23,False,True,39.778487992857166,14.84228515625,19.0828129132618,1118.8097124104966,1090.2030629602616,1043.9296733845563,1118.1107177734375,1147.7950731125552,True,False,True,False,False,False,False,False,False,False
2025-07-24,1137.9003959555814,1142.847788981475,1132.9530029296875,1132.9530029296875,15055463,2025-07-24,False,True,40.71038301317899,9.894786051787605,18.376042557493324,1121.9526658592058,1094.0894211393002,1047.4207843471106,1123.0582168779,1132.9530029296875,True,False,True,False,False,False,False,False,False,False
2025-07-25,1137.9003959555814,1142.847788981475,1128.0056099037938,1132.9530029296875,22476546,2025-07-25,False,True,41.85863821643735,14.842179077681294,18.376042609847236,1124.3971852082018,1097.6224740293353,1050.7749889974077,1132.9530029296875,1142.847788981475,True,False,True,False,False,False,False,False,False,False
2025-07-28,1142.847788981475,1147.795182007369,1132.9530029296875,1132.9530029296875,20606376,2025-07-28,False,True,40.37946153833535,14.842179077681521,18.37604266220116,1126.2984780351985,1100.8343402930036,1053.9976562104384,1128.0056099037938,1142.847788981475,True,False,False,False,False,False,False,False,False,False
2025-07-29,1132.9528905389593,1132.9528905389593,1113.1633203985407,1123.05810546875,31763255,2025-07-29,False,True,38.17042720940035,19.78968253114681,18.022665437671453,1125.5783952426543,1102.854682581708,1056.7059091225292,1132.9530029296875,1147.795182007369,True,False,False,False,False,False,False,False,False,False
2025-07-30,1137.900385340571,1147.795171300054,1132.9529923608293,1142.8477783203125,34182363,2025-07-30,False,True,38.96366212791291,24.737065831304108,19.082820321269065,1129.4160359265784,1106.4904185579446,1060.0840216400893,1113.1633203985407,1132.9528905389593,True,False,True,False,False,False,False,False,False,False
