Date,open,high,low,close,volume,dividends,stock splits,capital gains,trade_date,sqz_on,sqz_off,sqz_val,atr14,ema8,ema21,ema50,prev_bar_low,prev_bar_high,prev_ema8,prev_ema21,prev2_ema8,prev2_ema21,vi_plus,vi_minus,vortex_spread,vortex_z,weekly_bull,entry_signal,day_low_so_far
2025-04-07,38.7756233215332,38.7756233215332,38.7756233215332,38.7756233215332,92658524,0.0,0.0,0.0,2025-04-07,False,True,-1.61507827912328,0.9887984858015341,42.60848165938763,44.11562183829086,45.48857118041529,43.08402633666992,43.41450189643431,43.70358404163175,44.64962168996663,43.8806005287637,44.8061812252963,0.915120052619683,0.8320079981764086,0.08311205444327441,1.7625925806982472,True,False,38.7756233215332
2025-04-08,37.01309140348354,38.54306379727242,36.85397576864317,37.514923095703125,321307308,0.0,0.0,0.0,2025-04-08,False,True,-2.2371263605102403,1.073602641527728,41.476579756346624,43.51555831623743,45.17587909866187,38.7756233215332,38.7756233215332,42.60848165938763,44.11562183829086,43.70358404163175,44.64962168996663,0.7939746273072681,0.8868085122274099,-0.09283388492014177,0.5807868704104212,True,False,36.85397576864317
2025-04-09,37.33132892992364,37.73524017505167,35.49536193337002,35.78911590576172,300494796,0.0,0.0,0.0,2025-04-09,False,True,-3.0352867007474735,1.202120382715023,40.212698900661096,42.81315446073964,44.80777073815599,36.85397576864317,38.54306379727242,41.476579756346624,43.51555831623743,42.60848165938763,44.11562183829086,0.7287279949653097,0.9563639831346863,-0.22763598816937658,-0.3317847997834963,True,False,35.49536193337002
2025-04-10,39.36313247680664,39.36313247680664,39.36313247680664,39.36313247680664,22371068,0.0,0.0,0.0,2025-04-10,False,True,-3.1225519531307313,1.410197113147914,40.02390636202677,42.49951609856391,44.59425551222072,35.49536193337002,37.73524017505167,40.212698900661096,42.81315446073964,41.476579756346624,43.51555831623743,0.8133914909761273,0.851209208826123,-0.03781771784999577,0.8591908388249666,True,False,39.36313247680664
2025-04-11,38.49410786925087,40.2811164855957,38.02899772615269,40.2811164855957,189919436,0.0,0.0,0.0,2025-04-11,False,True,-2.986716670122416,1.5028701205885981,40.081064167264316,42.29784340647589,44.42511280529425,39.36313247680664,39.36313247680664,40.02390636202677,42.49951609856391,40.212698900661096,42.81315446073964,0.7562540553626625,0.8598020067216424,-0.10354795135897987,0.3002929736788724,True,False,38.02899772615269
2025-04-14,41.24805966596767,41.29701804017601,40.02408163433658,40.07304000854492,175434800,0.0,0.0,0.0,2025-04-14,False,True,-2.9005790085739274,1.5596978218285642,40.07928102088223,42.09558855211853,44.2544432838531,38.02899772615269,40.2811164855957,40.081064167264316,42.29784340647589,40.02390636202677,42.49951609856391,0.860986696213867,0.8183854796385063,0.042601216575360756,1.2933725954333026,False,False,40.02408163433658
2025-04-15,40.15872037528509,40.51367326102873,39.97512366866411,40.47695541381836,73965868,0.0,0.0,0.0,2025-04-15,False,True,-2.737308759221647,1.5614464692080918,40.16765310820137,41.94844008500033,44.10630650463605,40.02408163433658,41.29701804017601,40.07928102088223,42.09558855211853,40.081064167264316,42.29784340647589,0.86114236935522,0.8589023160362242,0.002240053318995794,0.9545666261279699,False,False,39.97512366866411
2025-04-16,40.097521858885464,40.097521858885464,39.51001015087473,39.74256896972656,98068248,0.0,0.0,0.0,2025-04-16,False,True,-2.6606958374228933,1.5824290922804356,40.07318996631808,41.74790634724817,43.93517954248274,39.97512366866411,40.51367326102873,40.16765310820137,41.94844008500033,40.07928102088223,42.09558855211853,0.8198896075740442,0.8883975963005111,-0.0685079887264669,0.2344849889777591,False,False,39.51001015087473
2025-04-17,39.485529983723005,39.485529983723005,39.0326566415756,39.30193328857422,72955972,0.0,0.0,0.0,2025-04-17,False,True,-2.616292020063652,1.6060349574200963,39.90179959348611,41.525545160095994,43.75348361095692,39.51001015087473,40.097521858885464,40.07318996631808,41.74790634724817,40.16765310820137,41.94844008500033,0.7936852130033053,0.9047357847466759,-0.11105057174337063,-0.27435918179824054,False,False,39.0326566415756
2025-04-18,39.51000919178065,39.60792967504774,39.314175695815464,39.387611389160156,44335540,0.0,0.0,0.0,2025-04-18,False,True,-2.572731449338398,1.5570756308194251,39.78753554808034,41.33118754455637,43.58227293559234,39.0326566415756,39.485529983723005,39.90179959348611,41.525545160095994,40.07318996631808,41.74790634724817,0.8197640918658042,0.885457261418047,-0.0656931695522428,0.0830007523352857,False,False,39.314175695815464
2025-04-21,39.35089402453913,39.35089402453913,38.800103905999705,38.8245849609375,62867512,0.0,0.0,0.0,2025-04-21,False,True,-2.504809280091145,1.546584319739692,39.57354652871527,41.103314582409205,43.39569693658627,39.314175695815464,39.60792967504774,39.78753554808034,41.33118754455637,39.90179959348611,41.525545160095994,0.8140192404952322,0.888072036707849,-0.07405279621261673,-0.1618700511034937,False,False,38.800103905999705
2025-04-22,38.567547254075876,38.653223472298805,38.175872802734375,38.175872802734375,75640860,0.0,0.0,0.0,2025-04-22,False,True,-2.5383161165045394,1.4705231717012854,39.262952367386184,40.83718351152967,43.19099795094502,38.800103905999705,39.35089402453913,39.57354652871527,41.103314582409205,39.78753554808034,41.33118754455637,0.8186682779762656,0.9066582711634511,-0.08798999318718548,-0.4542373038242341,False,False,38.175872802734375
2025-04-23,39.24073402671349,39.9261624293102,39.24073402671349,39.86496353149414,63235952,0.0,0.0,0.0,2025-04-23,False,True,-2.2020194476942865,1.5290992102623073,39.39673262607684,40.74879987698099,43.06056522861361,38.175872802734375,38.653223472298805,39.262952367386184,40.83718351152967,39.57354652871527,41.103314582409205,0.8193253121246907,0.891938009448536,-0.07261269732384523,-0.19421199141723644,False,False,39.24073402671349
2025-04-24,40.121999366749556,40.1587209497698,39.48553301586269,39.632408142089844,53776468,0.0,0.0,0.0,2025-04-24,False,True,-1.8237447209718145,1.553578665558216,39.44910496296862,40.64730971926361,42.92612769580876,39.24073402671349,39.9261624293102,39.39673262607684,40.74879987698099,39.262952367386184,40.83718351152967,0.8064155603396098,0.8919523434619464,-0.08553678312233659,-0.4110499718999168,False,False,39.48553301586269
2025-04-25,40.68502833716168,40.86862503880527,40.513672162684564,40.57487106323242,70563724,0.0,0.0,0.0,2025-04-25,False,True,-1.198125590798089,1.334136799956695,39.699275207471686,40.64072438689714,42.833921553354784,39.48553301586269,40.1587209497698,39.44910496296862,40.64730971926361,39.39673262607684,40.74879987698099,0.7824379216546242,0.8093048028970702,-0.02686688124244596,0.49870667226031934,False,False,40.513672162684564
2025-04-28,40.831907245868045,41.00326342056876,40.831907245868045,40.91758346557617,48371852,0.0,0.0,0.0,2025-04-28,False,True,-0.5565342011431804,1.2274757145600022,39.97001037593935,40.66589339404978,42.75877104010857,40.513672162684564,40.86862503880527,39.699275207471686,40.64072438689714,39.44910496296862,40.64730971926361,0.865384644197514,0.7699423041284565,0.0954423400690575,2.0704646062283136,False,False,40.831907245868045
2025-04-29,40.91758273794677,41.12566049049458,40.75846709325803,41.07670211791992,43388416,0.0,0.0,0.0,2025-04-29,False,True,0.1224674400117518,1.0937125113853523,40.21594187415725,40.703239641674344,42.69280755296392,40.831907245868045,41.00326342056876,39.97001037593935,40.66589339404978,39.699275207471686,40.64072438689714,0.9328535066576495,0.6810546042474862,0.25179890241016334,2.9793363340057333,False,False,40.75846709325803
2025-04-30,41.08894054222231,41.3704539715839,41.00326059313789,41.27253723144531,37552524,0.0,0.0,0.0,2025-04-30,False,True,0.6937195806729166,0.8646537119140015,40.45074084244349,40.75499396801716,42.63711067761025,40.75846709325803,41.12566049049458,40.21594187415725,40.703239641674344,39.97001037593935,40.66589339404978,0.9110208683406168,0.7371075392118731,0.1739133291287437,1.8615734404140425,False,False,41.00326059313789
2025-05-02,42.104844854613205,42.47203826904297,41.982447049803284,42.47203826904297,57160960,0.0,0.0,0.0,2025-05-02,False,True,1.5291374695130662,0.7894667317821903,40.899918048354486,40.91108890447405,42.6306372498233,41.00326059313789,41.3704539715839,40.45074084244349,40.75499396801716,40.21594187415725,40.703239641674344,1.0476185340562445,0.741970748413892,0.3056477856423525,2.4386782704120757,False,False,41.982447049803284
